,Unnamed: 0,code_p,Inventory value,Inventory,Total orders,total 23,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Month,Value
61,61,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,February,115
62,62,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,March,28
63,63,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,April,24
64,64,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,May,9
65,65,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,June,70
66,66,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,July,36
67,67,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,August,10
68,68,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,September,7
69,69,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,October,13
70,70,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Novermber,13
71,71,15001,5363,218,100,359,16,5,79,239,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,December,6
72,72,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,January,0
73,73,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,February,0
74,74,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,March,0
75,75,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,April,20
76,76,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,May,0
77,77,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,June,0
78,78,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,July,11
79,79,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,August,20
80,80,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,September,0
81,81,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,October,0
82,82,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,Novermber,0
83,83,150033,22700,454,0,52,6,5,31,423,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,December,1
84,84,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,January,29
85,85,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,February,10
86,86,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,March,25
87,87,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,April,33
88,88,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,May,1
89,89,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,June,6
90,90,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,July,11
91,91,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,August,0
92,92,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,September,0
93,93,15003,23892,362,0,116,2,5,12,350,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,October,0
