name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,January_normalized,February_normalized,March_normalized,April_normalized,May_normalized,June_normalized,July_normalized,August_normalized,September_normalized,October_normalized,Novermber_normalized,December_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.11146384479717814,0.13388734995383195,0.1,0.13193018480492813,0.3793103448275862,0.019138755980861243,0.135678391959799,0.04017857142857143,0.005405405405405406,0.11475409836065574,0.10633946830265849,0.06642066420664207,0.22807017543859648,0.05649717514124294,0.06,0.0,0.11707317073170732,0.0,0.0989456609894566,0.2225789192081327
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.030655763989097324,0.017543859649122806,0.3,0.1801848049281314,0.017241379310344827,0.28708133971291866,0.19597989949748743,0.044642857142857144,0.05945945945945946,0.24043715846994534,0.06748466257668712,0.11808118081180811,0.16228070175438597,0.4463276836158192,0.168,0.0,0.1902439024390244,0.0,0.16058394160583941,0.2958801498127341
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.17655924322590988,0.13758079409048937,0.0,0.037987679671457907,0.04310344827586207,0.023923444976076555,0.04020100502512563,0.13839285714285715,0.005405405405405406,0.00546448087431694,0.053169734151329244,0.02214022140221402,0.05701754385964912,0.03954802259887006,0.024,0.0,0.02926829268292683,0.0,0.0267639902676399,0.1653290529695024
False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.17986211319544654,0.10895660203139428,0.0,0.033367556468172486,0.15086206896551724,0.09569377990430622,0.005025125628140704,0.04017857142857143,0.005405405405405406,0.0,0.0081799591002045,0.0036900369003690036,0.05263157894736842,0.05084745762711865,0.052,0.0,0.014634146341463415,0.0,0.0113544201135442,0.15890850722311398
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.040307840307840306,0.10433979686057249,0.0,0.021560574948665298,0.034482758620689655,0.12440191387559808,0.0,0.049107142857142856,0.021621621621621623,0.04371584699453552,0.010224948875255624,0.0036900369003690036,0.04824561403508772,0.01694915254237288,0.02,0.0,0.0,0.0,0.0,0.1637239165329053
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.12647105980439313,0.4773776546629732,0.15,0.473305954825462,0.30603448275862066,0.6076555023923444,0.27638190954773867,0.42857142857142855,0.4756756756756757,0.7595628415300546,0.19222903885480572,0.25092250922509224,0.543859649122807,0.1694915254237288,0.208,0.08866995073891626,0.33170731707317075,1.0,0.3333333333333333,0.32049224184055647
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.09741863075196408,0.3379501385041551,0.0,0.19250513347022588,0.09913793103448276,0.21052631578947367,0.135678391959799,0.07142857142857142,0.32972972972972975,0.23497267759562843,0.05521472392638037,0.03690036900369004,0.21929824561403508,0.15254237288135594,0.196,0.18719211822660098,0.13170731707317074,0.0,0.11192214111922141,0.2252541466024612
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.04040404040404041,0.10526315789473684,0.0,0.03696098562628337,0.11206896551724138,0.0430622009569378,0.035175879396984924,0.04017857142857143,0.0,0.01639344262295082,0.034764826175869123,0.0036900369003690036,0.04824561403508772,0.02824858757062147,0.084,0.014778325123152709,0.02926829268292683,0.0,0.024330900243309004,0.14820759764579988
False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.08718935385602053,0.24653739612188366,0.35,0.19250513347022588,0.15517241379310345,0.36363636363636365,0.06532663316582915,0.14732142857142858,0.2594594594594595,0.16393442622950818,0.08588957055214724,0.02952029520295203,0.30701754385964913,0.03954802259887006,0.068,0.1724137931034483,0.11707317073170732,0.0,0.09651257096512571,0.5569823434991974
False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.050793650793650794,0.1523545706371191,0.0,0.011806981519507187,0.004310344827586207,0.019138755980861243,0.010050251256281407,0.08035714285714286,0.021621621621621623,0.0273224043715847,0.010224948875255624,0.01107011070110701,0.04824561403508772,0.02824858757062147,0.02,0.0,0.004878048780487805,0.0,0.0032441200324412004,0.18940609951845908
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.4181497514830848,0.22807017543859648,0.0,0.28696098562628336,0.21551724137931033,0.37320574162679426,0.23115577889447236,0.22767857142857142,0.22162162162162163,0.3989071038251366,0.06952965235173825,0.055350553505535055,0.2807017543859649,0.1638418079096045,0.3,0.21182266009852216,0.18536585365853658,0.0,0.15571776155717762,0.1326912787586945
False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.9093153759820426,0.494921514312096,0.84,0.6309034907597536,0.5172413793103449,1.0,0.22110552763819097,0.24553571428571427,0.8486486486486486,0.8579234972677595,0.2883435582822086,0.28413284132841327,0.7324561403508771,0.1977401129943503,0.22,0.2561576354679803,0.43902439024390244,1.0,0.43795620437956206,1.0
