code_p,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,January_normalized,February_normalized,March_normalized,April_normalized,May_normalized,June_normalized,July_normalized,August_normalized,September_normalized,October_normalized,Novermber_normalized,December_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized
15450,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.3340708674042007,0.0941828254847645,0.0,0.0041067761806981,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.036,0.0197044334975369,0.0048780487804878,0.0,0.0040551500405515,0.155163188871054
15452,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.3626422959756293,0.0978762696214219,0.0,0.0035934291581108,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.032,0.0197044334975369,0.0048780487804878,0.0,0.0032441200324412,0.1578384162653825
15453,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.4931858265191599,0.0886426592797784,0.005,0.0051334702258726,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.028,0.0394088669950738,0.0,0.0,0.0024330900243309,0.1583734617442482
15455,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.5246432579765913,0.0904893813481071,0.005,0.0051334702258726,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.028,0.0394088669950738,0.0,0.0,0.0024330900243309,0.1594435527019796
15456,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.6681417348084014,0.0821791320406278,0.01,0.002053388090349,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.028,0.0098522167487684,0.0,0.0,0.0024330900243309,0.1599785981808453
15458,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.266345999679333,0.0406278855032317,0.033,0.0030800821355236,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.028,0.0197044334975369,0.0,0.0,0.0024330900243309,0.160513643659711
15451,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.3633156966490299,0.1015697137580794,0.0,0.0025667351129363,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.02,0.0246305418719211,0.0,0.0,0.0008110300081103,0.1615837346174425
15454,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.5352252685586019,0.0951061865189289,0.005,0.0005133470225872,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.02,0.0049261083743842,0.0,0.0,0.0008110300081103,0.1631888710540396
15457,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,0.7318903318903319,0.0886426592797784,0.01,0.0,0.0,0.0191387559808612,0.0050251256281407,0.0401785714285714,0.0,0.0,0.0081799591002045,0.003690036900369,0.0482456140350877,0.0282485875706214,0.02,0.0,0.0,0.0,0.0008110300081103,0.1647940074906367
15084,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.0,0.0,0.1,0.4722792607802875,0.9827586206896552,0.4210526315789473,0.1809045226130653,0.2633928571428571,0.5621621621621622,0.0273224043715847,0.2188139059304703,0.3025830258302583,0.337719298245614,0.4463276836158192,0.032,0.4285714285714285,0.3170731707317073,1.0,0.3187347931873479,0.0
