code_p,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w,Inventory value_normalized,Inventory_normalized,Total orders_normalized,total 23_normalized,AV23_normalized,multiplier_normalized,Minimum stock_normalized,purchase_r_normalized,Month,Value
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,October_normalized,0.0903954802259887
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,Novermber_normalized,0.164
15002,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2448613115279782,0.1717451523545706,0.0,0.2166324435318275,0.1024390243902439,0.0,0.0875912408759124,0.1449973247726056,December_normalized,0.1527093596059113
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,January_normalized,0.021551724137931
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,February_normalized,0.1339712918660287
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,March_normalized,0.135678391959799
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,April_normalized,0.0401785714285714
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,May_normalized,0.0
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,June_normalized,0.0273224043715847
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,July_normalized,0.0531697341513292
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,August_normalized,0.088560885608856
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,September_normalized,0.0
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,October_normalized,0.0508474576271186
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,Novermber_normalized,0.06
150022,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1499438832772166,0.1034164358264081,0.0,0.055441478439425,0.048780487804878,0.0,0.0397404703974047,0.1369716425896201,December_normalized,0.0
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,January_normalized,0.021551724137931
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,February_normalized,0.1770334928229665
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,March_normalized,0.050251256281407
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,April_normalized,0.0535714285714285
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,May_normalized,0.0756756756756756
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,June_normalized,0.2240437158469945
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,July_normalized,0.0715746421267893
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,August_normalized,0.084870848708487
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,September_normalized,0.0657894736842105
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,October_normalized,0.03954802259887
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,Novermber_normalized,0.02
150011,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.1929453262786596,0.2077562326869806,0.0,0.0867556468172484,0.0585365853658536,0.0,0.048661800486618,0.1915462814339218,December_normalized,0.0246305418719211
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,January_normalized,0.1206896551724138
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,February_normalized,0.569377990430622
15001,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.2026294692961359,0.2188365650969529,0.05,0.1842915811088295,0.0780487804878048,0.0,0.064882400648824,0.2407704654895666,March_normalized,0.1457286432160804
