,code_p,Inventory value,Inventory,Total orders,total 23,January,February,March,April,May,June,July,August,September,October,Novermber,December,AV23,multiplier,Minimum stock,purchase_r,name_p_BRI,name_p_BRIS,name_p_COB TUBE,name_p_COSTA,name_p_Cob magnet,name_p_Deep SMD,name_p_JIMI,name_p_MINI B,name_p_MINI C,name_p_PATENT,name_p_SELINE,name_p_STEPS,name_p_TORRES,color_p_B,color_p_G,color_p_W,color_p_WG,color_p_b,color_p_g,color_p_w
45,15913,,13.0,0.0,2.0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.0,1.0,12.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
46,15914,,36.0,0.0,7.0,3,0,0,0,2,0,0,0,1,0,1,0,0,5.0,2.0,34.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
47,15911,,358.0,0.0,50.0,23,1,0,2,4,3,0,2,2,6,2,5,2,5.0,12.0,346.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
48,15910,,185.0,0.0,52.0,10,2,3,7,16,5,-4,0,2,6,2,3,1,5.0,6.0,179.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
49,15387,,923.0,0.0,54.0,22,10,3,0,2,0,0,2,10,5,0,0,3,5.0,17.0,906.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
50,15909,,205.0,0.0,10.0,1,4,0,0,1,1,0,0,2,1,0,0,1,5.0,3.0,202.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
51,15386,,886.0,0.0,78.0,33,10,6,0,5,12,0,0,4,0,8,0,2,5.0,12.0,874.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
52,15912,,20.0,0.0,15.0,0,1,0,0,0,14,0,0,0,0,0,0,0,5.0,0.0,20.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
53,15917,,23.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.0,0.0,23.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
54,15027,,215.0,,,220,201,79,0,156,183,485,62,217,18,245,82,205,6.0,,983.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
55,150277,,137.0,300.0,263.0,9,6,25,5,2,3,49,69,33,22,9,31,36,5.0,182.0,255.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
56,15028,,117.0,400.0,,232,82,127,215,185,60,73,49,119,7,9,107,51,6.0,308.0,209.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
57,150288,,92.0,300.0,129.0,20,49,0,0,8,9,1,26,15,-5,0,6,7,5.0,37.0,355.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
58,15007,-42.0,-2.0,,,155,202,161,-9,68,85,222,77,212,55,46,152,122,6.0,734.0,190.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
59,15008,,189.0,150.0,381.0,63,86,56,0,7,3,25,22,60,6,24,29,27,5.0,137.0,202.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
60,150077,,90.0,450.0,337.0,14,17,43,0,26,2,24,77,32,43,36,23,42,5.0,212.0,328.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
61,150088,,217.0,0.0,145.0,1,44,2,27,6,0,22,10,14,0,1,18,9,5.0,47.0,170.0,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
62,150099,,63.0,0.0,64.0,24,-4,0,0,2,27,11,0,1,1,0,2,3,5.0,13.0,50.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
63,15009,,687.0,0.0,197.0,21,10,32,10,7,9,19,17,12,9,32,19,18,5.0,89.0,598.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
64,15061,28.0,1.0,900.0,919.0,119,82,68,21,97,125,121,62,39,10,119,56,70,5.0,351.0,438.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
65,15062,,67.0,200.0,268.0,27,10,13,18,38,33,44,3,8,36,24,14,23,5.0,115.0,152.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
66,15060,224.0,8.0,800.0,732.0,28,20,53,68,75,113,137,20,70,21,65,62,63,5.0,313.0,473.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
67,150611,,118.0,0.0,193.0,2,27,34,-7,40,27,34,-1,0,0,5,32,8,5.0,38.0,80.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
68,150622,112.0,4.0,100.0,67.0,4,0,1,26,6,0,0,23,7,0,0,0,6,5.0,30.0,74.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
69,150600,,46.0,200.0,138.0,10,0,4,5,21,10,11,15,0,4,32,26,12,5.0,62.0,184.0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
70,15037,,87.0,100.0,159.0,1,24,2,6,10,12,44,34,2,7,5,12,18,5.0,92.0,95.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
71,15039,0.0,0.0,350.0,198.0,18,7,4,6,0,11,7,3,0,131,3,8,29,5.0,144.0,206.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
72,15040,,59.0,150.0,120.0,13,14,5,0,15,6,9,12,32,10,4,0,13,5.0,67.0,142.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
73,15038,,179.0,0.0,152.0,26,39,29,1,1,6,17,12,4,12,1,4,9,5.0,46.0,133.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
74,15041,,158.0,0.0,54.0,2,9,4,0,0,2,19,10,4,1,3,0,7,5.0,37.0,121.0,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False
75,15394,,50.0,0.0,2.0,0,0,0,0,0,0,0,0,1,1,0,0,0,5.0,2.0,48.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False
